timestamp,location,sensor,value
2023-12-31T19:38:00.000Z,zone-b,pressure,1018.6
2023-12-31T19:41:00.000Z,zone-b,temperature,31.1
2023-12-31T20:25:00.000Z,zone-a,humidity,60.3
2023-12-31T20:28:00.000Z,zone-c,light,238.1
2023-12-31T21:45:00.000Z,zone-b,light,608
2023-12-31T22:06:00.000Z,zone-a,pressure,1017
2023-12-31T22:58:00.000Z,zone-a,light,627.3
2023-12-31T23:25:00.000Z,zone-c,humidity,49.9
2023-12-31T23:27:00.000Z,zone-c,pressure,1004.3
2024-01-01T00:24:00.000Z,zone-d,pressure,1004
2024-01-01T01:11:00.000Z,zone-a,temperature,29.7
2024-01-01T02:51:00.000Z,zone-d,light,653
2024-01-01T03:33:00.000Z,zone-d,humidity,46.2
2024-01-01T07:11:00.000Z,zone-b,humidity,47.6
2024-01-01T08:18:00.000Z,zone-c,temperature,26.5
2024-01-01T11:20:00.000Z,zone-d,temperature,15.8
2024-01-01T21:49:00.000Z,zone-d,temperature,25.9
2024-01-01T21:52:00.000Z,zone-a,humidity,75.6
2024-01-01T21:53:00.000Z,zone-a,temperature,26.6
2024-01-01T23:30:00.000Z,zone-c,pressure,998.4
2024-01-01T23:44:00.000Z,zone-c,humidity,77.2
2024-01-02T02:57:00.000Z,zone-b,temperature,26.7
2024-01-02T03:38:00.000Z,zone-d,light,625.9
2024-01-02T04:24:00.000Z,zone-d,pressure,995.9
2024-01-02T05:59:00.000Z,zone-c,light,659.7
2024-01-02T06:20:00.000Z,zone-a,pressure,1019.2
2024-01-02T08:17:00.000Z,zone-d,humidity,50.3
2024-01-02T12:19:00.000Z,zone-c,temperature,26.3
2024-01-02T12:56:00.000Z,zone-a,light,176
2024-01-02T14:55:00.000Z,zone-b,humidity,58.6
2024-01-02T17:31:00.000Z,zone-b,light,867.4
2024-01-02T18:19:00.000Z,zone-b,pressure,994.6
2024-01-02T20:53:00.000Z,zone-c,humidity,44.8
2024-01-02T21:29:00.000Z,zone-d,temperature,16.4
2024-01-02T22:02:00.000Z,zone-a,pressure,1017.3
2024-01-03T01:56:00.000Z,zone-b,pressure,1008.4
2024-01-03T02:39:00.000Z,zone-c,temperature,26
2024-01-03T03:33:00.000Z,zone-a,humidity,71.6
2024-01-03T03:37:00.000Z,zone-a,light,534.5
2024-01-03T03:37:00.000Z,zone-d,pressure,997.9
2024-01-03T03:49:00.000Z,zone-a,temperature,15.7
2024-01-03T04:28:00.000Z,zone-c,light,703.4
2024-01-03T05:23:00.000Z,zone-c,pressure,990.1
2024-01-03T07:38:00.000Z,zone-b,light,538.7
2024-01-03T08:10:00.000Z,zone-d,light,118.8
2024-01-03T12:09:00.000Z,zone-b,humidity,37
2024-01-03T14:49:00.000Z,zone-b,temperature,20.1
2024-01-03T17:58:00.000Z,zone-d,humidity,47.1
2024-01-03T19:50:00.000Z,zone-d,temperature,33.2
2024-01-03T20:08:00.000Z,zone-a,humidity,69.4
2024-01-03T22:49:00.000Z,zone-d,pressure,1011.3
2024-01-04T00:16:00.000Z,zone-c,humidity,49.3
2024-01-04T00:38:00.000Z,zone-c,temperature,16.5
2024-01-04T04:17:00.000Z,zone-a,light,621.2
2024-01-04T05:02:00.000Z,zone-b,temperature,21.2
2024-01-04T06:00:00.000Z,zone-d,humidity,32.5
2024-01-04T08:38:00.000Z,zone-b,humidity,79.7
2024-01-04T10:21:00.000Z,zone-d,light,627.9
2024-01-04T12:14:00.000Z,zone-a,temperature,33.7
2024-01-04T12:15:00.000Z,zone-a,pressure,1011.1
2024-01-04T14:00:00.000Z,zone-c,pressure,996.6
2024-01-04T14:11:00.000Z,zone-b,pressure,1006.5
2024-01-04T15:58:00.000Z,zone-b,light,184.3
2024-01-04T17:25:00.000Z,zone-c,light,609.6
2024-01-04T21:55:00.000Z,zone-d,light,399
2024-01-04T23:06:00.000Z,zone-b,temperature,23.8
2024-01-04T23:14:00.000Z,zone-c,temperature,27.8
2024-01-04T23:15:00.000Z,zone-c,pressure,1004.9
2024-01-04T23:29:00.000Z,zone-b,light,170.5
2024-01-04T23:39:00.000Z,zone-b,humidity,42.1
2024-01-05T03:05:00.000Z,zone-b,pressure,1004
2024-01-05T04:24:00.000Z,zone-d,humidity,54.3
2024-01-05T06:08:00.000Z,zone-a,light,234.3
2024-01-05T07:19:00.000Z,zone-c,humidity,64.8
2024-01-05T10:50:00.000Z,zone-a,temperature,16.2
2024-01-05T13:59:00.000Z,zone-a,humidity,30.1
2024-01-05T15:52:00.000Z,zone-d,pressure,1005.3
2024-01-05T16:14:00.000Z,zone-c,light,429.8
2024-01-05T16:25:00.000Z,zone-d,temperature,16.5
2024-01-05T17:49:00.000Z,zone-a,pressure,1016.8
2024-01-05T21:14:00.000Z,zone-b,light,896.4
2024-01-05T22:06:00.000Z,zone-a,pressure,1002.5
2024-01-05T22:17:00.000Z,zone-a,temperature,16.8
2024-01-05T22:47:00.000Z,zone-b,pressure,994.3
2024-01-06T01:11:00.000Z,zone-b,temperature,30.2
2024-01-06T02:20:00.000Z,zone-c,temperature,19.3
2024-01-06T04:30:00.000Z,zone-c,light,852.8
2024-01-06T11:43:00.000Z,zone-a,humidity,53.6
2024-01-06T11:53:00.000Z,zone-d,temperature,29
2024-01-06T12:31:00.000Z,zone-b,humidity,42.3
2024-01-06T12:57:00.000Z,zone-c,pressure,1019.2
2024-01-06T13:52:00.000Z,zone-d,light,811.8
2024-01-06T15:05:00.000Z,zone-d,pressure,1005.5
2024-01-06T15:09:00.000Z,zone-c,humidity,45.6
2024-01-06T16:52:00.000Z,zone-a,light,377.7
2024-01-06T18:25:00.000Z,zone-d,humidity,56.6
2024-01-07T00:43:00.000Z,zone-d,light,316.6
2024-01-07T00:51:00.000Z,zone-a,pressure,1016.9
2024-01-07T01:42:00.000Z,zone-d,temperature,27.7
2024-01-07T04:12:00.000Z,zone-d,humidity,56.8
2024-01-07T04:49:00.000Z,zone-a,temperature,32.7
2024-01-07T04:54:00.000Z,zone-a,humidity,72.9
2024-01-07T07:17:00.000Z,zone-c,pressure,1016.6
2024-01-07T08:00:00.000Z,zone-b,humidity,73.4
2024-01-07T08:49:00.000Z,zone-b,temperature,21.5
2024-01-07T10:14:00.000Z,zone-c,humidity,50.5
2024-01-07T12:11:00.000Z,zone-a,light,263.2
2024-01-07T14:07:00.000Z,zone-b,pressure,1017.9
2024-01-07T14:44:00.000Z,zone-d,pressure,1017.4
2024-01-07T16:41:00.000Z,zone-c,temperature,23.5
2024-01-07T17:52:00.000Z,zone-c,light,880.3
2024-01-07T18:22:00.000Z,zone-b,light,445.8
2024-01-07T22:31:00.000Z,zone-b,light,160
2024-01-07T23:56:00.000Z,zone-a,light,490
2024-01-08T01:40:00.000Z,zone-c,humidity,44
2024-01-08T03:23:00.000Z,zone-d,light,133.9
2024-01-08T07:00:00.000Z,zone-c,pressure,1005
2024-01-08T07:05:00.000Z,zone-d,temperature,29
2024-01-08T09:00:00.000Z,zone-d,pressure,1015.3
2024-01-08T09:20:00.000Z,zone-a,humidity,66.4
2024-01-08T10:23:00.000Z,zone-a,pressure,1002.6
2024-01-08T11:24:00.000Z,zone-d,humidity,37.2
2024-01-08T12:33:00.000Z,zone-b,pressure,999.6
2024-01-08T13:54:00.000Z,zone-b,humidity,64.2
2024-01-08T16:13:00.000Z,zone-a,temperature,17
2024-01-08T16:25:00.000Z,zone-c,light,334.3
2024-01-08T17:20:00.000Z,zone-b,temperature,16.2
2024-01-08T17:50:00.000Z,zone-c,temperature,17.9
2024-01-08T19:47:00.000Z,zone-c,pressure,1016.3
2024-01-08T20:16:00.000Z,zone-c,light,269.4
2024-01-08T20:49:00.000Z,zone-c,temperature,24.5
2024-01-08T21:05:00.000Z,zone-b,temperature,23.4
2024-01-08T21:45:00.000Z,zone-b,pressure,1017.8
2024-01-09T05:21:00.000Z,zone-a,pressure,1000.2
2024-01-09T05:55:00.000Z,zone-c,humidity,65.8
2024-01-09T06:28:00.000Z,zone-a,humidity,70
2024-01-09T09:21:00.000Z,zone-d,temperature,23.6
2024-01-09T10:42:00.000Z,zone-d,pressure,998.9
2024-01-09T11:21:00.000Z,zone-b,humidity,54.4
2024-01-09T11:54:00.000Z,zone-b,light,750.7
